,Workload,Algorithm,r,Mean (Std)
91,strawberry,DLiSA-0.1,4,1.118 (0.023)
92,strawberry,DLiSA-0.2,3,1.117 (0.022)
93,strawberry,DLiSA-0.3,3,1.117 (0.017)
94,strawberry,DLiSA-0.4,3,1.116 (0.017)
95,strawberry,DLiSA-0.5,2,1.116 (0.014)
96,strawberry,DLiSA-0.6,1,1.115 (0.011)
97,strawberry,DLiSA-0.7,4,1.119 (0.02)
98,strawberry,DLiSA-0.8,4,1.128 (0.024)
99,strawberry,DLiSA-0.9,4,1.151 (0.04)
100,village,DLiSA-0.0,4,1.63 (0.041)
101,village,DLiSA-0.1,4,1.631 (0.039)
102,village,DLiSA-0.2,4,1.632 (0.04)
103,village,DLiSA-0.3,1,1.628 (0.038)
104,village,DLiSA-0.4,2,1.628 (0.034)
105,village,DLiSA-0.5,3,1.629 (0.036)
106,village,DLiSA-0.6,4,1.63 (0.034)
107,village,DLiSA-0.7,4,1.637 (0.045)
108,village,DLiSA-0.8,4,1.679 (0.064)
109,village,DLiSA-0.9,4,1.691 (0.049)
110,jpeg-large,DLiSA-0.0,2,1.85 (0.1)
111,jpeg-large,DLiSA-0.1,4,1.856 (0.108)
112,jpeg-large,DLiSA-0.2,4,1.856 (0.107)
113,jpeg-large,DLiSA-0.3,2,1.849 (0.105)
114,jpeg-large,DLiSA-0.4,1,1.846 (0.102)
115,jpeg-large,DLiSA-0.5,3,1.852 (0.108)
116,jpeg-large,DLiSA-0.6,4,1.903 (0.14)
117,jpeg-large,DLiSA-0.7,4,1.935 (0.149)
118,jpeg-large,DLiSA-0.8,4,1.96 (0.167)
119,jpeg-large,DLiSA-0.9,4,1.926 (0.131)
120,jpeg-medium,DLiSA-0.0,4,1.117 (0.055)
121,jpeg-medium,DLiSA-0.1,3,1.117 (0.055)
122,jpeg-medium,DLiSA-0.2,4,1.117 (0.056)
123,jpeg-medium,DLiSA-0.3,1,1.115 (0.049)
124,jpeg-medium,DLiSA-0.4,1,1.106 (0.047)
125,jpeg-medium,DLiSA-0.5,2,1.117 (0.047)
126,jpeg-medium,DLiSA-0.6,4,1.14 (0.067)
127,jpeg-medium,DLiSA-0.7,4,1.156 (0.069)
128,jpeg-medium,DLiSA-0.8,4,1.175 (0.082)
129,jpeg-medium,DLiSA-0.9,5,1.18 (0.09)
130,jpeg-small,DLiSA-0.0,3,0.376 (0.007)
131,jpeg-small,DLiSA-0.1,2,0.375 (0.007)
132,jpeg-small,DLiSA-0.2,1,0.375 (0.007)
133,jpeg-small,DLiSA-0.3,1,0.375 (0.008)
134,jpeg-small,DLiSA-0.4,3,0.375 (0.007)
135,jpeg-small,DLiSA-0.5,1,0.375 (0.007)
136,jpeg-small,DLiSA-0.6,3,0.377 (0.009)
137,jpeg-small,DLiSA-0.7,3,0.381 (0.01)
138,jpeg-small,DLiSA-0.8,3,0.382 (0.007)
139,jpeg-small,DLiSA-0.9,3,0.382 (0.008)
140,png-large,DLiSA-0.0,2,1.6 (0.061)
141,png-large,DLiSA-0.1,3,1.602 (0.066)
142,png-large,DLiSA-0.2,1,1.596 (0.06)
143,png-large,DLiSA-0.3,3,1.605 (0.067)
144,png-large,DLiSA-0.4,1,1.59 (0.055)
145,png-large,DLiSA-0.5,1,1.599 (0.067)
146,png-large,DLiSA-0.6,3,1.626 (0.089)
147,png-large,DLiSA-0.7,3,1.658 (0.096)
148,png-large,DLiSA-0.8,4,1.672 (0.112)
149,png-large,DLiSA-0.9,4,1.668 (0.093)
150,png-medium,DLiSA-0.0,3,0.502 (0.016)
151,png-medium,DLiSA-0.1,5,0.504 (0.017)
152,png-medium,DLiSA-0.2,2,0.502 (0.017)
153,png-medium,DLiSA-0.3,5,0.503 (0.019)
154,png-medium,DLiSA-0.4,1,0.502 (0.015)
155,png-medium,DLiSA-0.5,4,0.503 (0.015)
156,png-medium,DLiSA-0.6,5,0.508 (0.019)
157,png-medium,DLiSA-0.7,5,0.514 (0.018)
158,png-medium,DLiSA-0.8,5,0.518 (0.018)
159,png-medium,DLiSA-0.9,5,0.522 (0.026)
160,png-small,DLiSA-0.0,3,0.377 (0.008)
161,png-small,DLiSA-0.1,2,0.376 (0.01)
162,png-small,DLiSA-0.2,1,0.376 (0.01)
163,png-small,DLiSA-0.3,1,0.376 (0.011)
164,png-small,DLiSA-0.4,1,0.375 (0.01)
165,png-small,DLiSA-0.5,3,0.377 (0.012)
166,png-small,DLiSA-0.6,4,0.38 (0.012)
167,png-small,DLiSA-0.7,4,0.389 (0.013)
168,png-small,DLiSA-0.8,4,0.389 (0.013)
169,png-small,DLiSA-0.9,4,0.389 (0.011)
170,psd-large,DLiSA-0.0,2,17.266 (2.658)
171,psd-large,DLiSA-0.1,1,17.194 (2.58)
172,psd-large,DLiSA-0.2,2,17.267 (2.658)
173,psd-large,DLiSA-0.3,3,17.366 (2.734)
174,psd-large,DLiSA-0.4,1,16.955 (2.298)
175,psd-large,DLiSA-0.5,3,17.348 (2.73)
176,psd-large,DLiSA-0.6,3,17.708 (3.046)
177,psd-large,DLiSA-0.7,3,17.927 (3.349)
178,psd-large,DLiSA-0.8,3,18.48 (3.641)
179,psd-large,DLiSA-0.9,3,18.157 (3.479)
180,psd-medium,DLiSA-0.0,1,1.027 (0.023)
181,psd-medium,DLiSA-0.1,4,1.033 (0.028)
182,psd-medium,DLiSA-0.2,3,1.029 (0.025)
183,psd-medium,DLiSA-0.3,4,1.032 (0.027)
184,psd-medium,DLiSA-0.4,1,1.028 (0.023)
185,psd-medium,DLiSA-0.5,2,1.029 (0.023)
186,psd-medium,DLiSA-0.6,5,1.04 (0.032)
187,psd-medium,DLiSA-0.7,5,1.054 (0.038)
188,psd-medium,DLiSA-0.8,5,1.063 (0.038)
189,psd-medium,DLiSA-0.9,5,1.061 (0.038)
190,psd-small,DLiSA-0.0,2,0.472 (0.015)
191,psd-small,DLiSA-0.1,1,0.472 (0.015)
192,psd-small,DLiSA-0.2,2,0.472 (0.014)
193,psd-small,DLiSA-0.3,4,0.473 (0.014)
194,psd-small,DLiSA-0.4,4,0.473 (0.015)
195,psd-small,DLiSA-0.5,3,0.472 (0.015)
196,psd-small,DLiSA-0.6,4,0.479 (0.018)
197,psd-small,DLiSA-0.7,4,0.489 (0.017)
198,psd-small,DLiSA-0.8,4,0.492 (0.018)
199,psd-small,DLiSA-0.9,4,0.486 (0.015)
200,svg-large,DLiSA-0.0,1,1.438 (0.008)
201,svg-large,DLiSA-0.1,3,1.438 (0.009)
202,svg-large,DLiSA-0.2,1,1.438 (0.008)
203,svg-large,DLiSA-0.3,2,1.438 (0.009)
204,svg-large,DLiSA-0.4,3,1.439 (0.008)
205,svg-large,DLiSA-0.5,4,1.44 (0.009)
206,svg-large,DLiSA-0.6,3,1.44 (0.009)
207,svg-large,DLiSA-0.7,4,1.441 (0.009)
208,svg-large,DLiSA-0.8,4,1.444 (0.011)
209,svg-large,DLiSA-0.9,4,1.443 (0.009)
210,svg-medium,DLiSA-0.0,2,1.444 (0.019)
211,svg-medium,DLiSA-0.1,1,1.441 (0.02)
212,svg-medium,DLiSA-0.2,3,1.444 (0.019)
213,svg-medium,DLiSA-0.3,3,1.444 (0.019)
214,svg-medium,DLiSA-0.4,3,1.444 (0.018)
215,svg-medium,DLiSA-0.5,1,1.443 (0.02)
216,svg-medium,DLiSA-0.6,3,1.446 (0.022)
217,svg-medium,DLiSA-0.7,3,1.453 (0.022)
218,svg-medium,DLiSA-0.8,4,1.461 (0.02)
219,svg-medium,DLiSA-0.9,3,1.46 (0.02)
220,svg-small,DLiSA-0.0,1,0.485 (0.008)
221,svg-small,DLiSA-0.1,2,0.486 (0.008)
222,svg-small,DLiSA-0.2,2,0.486 (0.008)
223,svg-small,DLiSA-0.3,3,0.487 (0.007)
224,svg-small,DLiSA-0.4,1,0.485 (0.007)
225,svg-small,DLiSA-0.5,3,0.487 (0.008)
226,svg-small,DLiSA-0.6,3,0.487 (0.01)
227,svg-small,DLiSA-0.7,3,0.488 (0.009)
228,svg-small,DLiSA-0.8,4,0.49 (0.009)
229,svg-small,DLiSA-0.9,4,0.492 (0.012)
230,smallbank-1,DLiSA-0.0,1,26701.455 (689.069)
231,smallbank-1,DLiSA-0.1,1,26748.557 (506.472)
232,smallbank-1,DLiSA-0.2,1,26674.874 (844.736)
233,smallbank-1,DLiSA-0.3,1,26721.45 (705.601)
234,smallbank-1,DLiSA-0.4,2,26611.386 (1007.921)
235,smallbank-1,DLiSA-0.5,1,26684.373 (499.903)
236,smallbank-1,DLiSA-0.6,2,26530.275 (1026.61)
237,smallbank-1,DLiSA-0.7,3,26311.415 (936.023)
238,smallbank-1,DLiSA-0.8,4,25977.976 (1525.302)
239,smallbank-1,DLiSA-0.9,4,25872.882 (1167.582)
240,smallbank-10,DLiSA-0.0,1,18971.583 (713.335)
241,smallbank-10,DLiSA-0.1,1,18949.345 (787.242)
242,smallbank-10,DLiSA-0.2,1,18975.295 (651.774)
243,smallbank-10,DLiSA-0.3,1,18972.982 (758.262)
244,smallbank-10,DLiSA-0.4,1,18876.503 (880.688)
245,smallbank-10,DLiSA-0.5,1,18984.467 (724.479)
246,smallbank-10,DLiSA-0.6,1,18872.28 (802.613)
247,smallbank-10,DLiSA-0.7,2,18623.566 (1092.735)
248,smallbank-10,DLiSA-0.8,3,18315.423 (1093.606)
249,smallbank-10,DLiSA-0.9,2,18475.402 (688.094)
250,tpcc-2,DLiSA-0.0,1,954.791 (34.938)
251,tpcc-2,DLiSA-0.1,1,949.319 (39.165)
252,tpcc-2,DLiSA-0.2,1,951.978 (38.898)
253,tpcc-2,DLiSA-0.3,1,948.344 (38.602)
254,tpcc-2,DLiSA-0.4,1,953.786 (31.121)
255,tpcc-2,DLiSA-0.5,1,951.922 (33.303)
256,tpcc-2,DLiSA-0.6,1,949.484 (38.942)
257,tpcc-2,DLiSA-0.7,2,925.725 (59.912)
258,tpcc-2,DLiSA-0.8,3,916.267 (51.561)
259,tpcc-2,DLiSA-0.9,3,908.82 (48.498)
260,tpcc-8,DLiSA-0.0,2,1033.016 (49.761)
261,tpcc-8,DLiSA-0.1,1,1041.369 (29.175)
262,tpcc-8,DLiSA-0.2,2,1033.512 (35.45)
263,tpcc-8,DLiSA-0.3,2,1032.006 (45.261)
264,tpcc-8,DLiSA-0.4,2,1031.226 (53.233)
265,tpcc-8,DLiSA-0.5,2,1031.78 (53.547)
266,tpcc-8,DLiSA-0.6,3,1013.599 (85.955)
267,tpcc-8,DLiSA-0.7,4,1004.851 (97.647)
268,tpcc-8,DLiSA-0.8,5,986.951 (90.273)
269,tpcc-8,DLiSA-0.9,5,977.149 (86.709)
270,voter-16,DLiSA-0.0,1,48066.338 (1890.044)
271,voter-16,DLiSA-0.1,1,48074.036 (1746.974)
272,voter-16,DLiSA-0.2,1,47887.456 (2509.844)
273,voter-16,DLiSA-0.3,1,47835.194 (2491.758)
274,voter-16,DLiSA-0.4,1,47949.43 (2381.896)
275,voter-16,DLiSA-0.5,1,48062.439 (1777.731)
276,voter-16,DLiSA-0.6,1,48048.508 (1605.725)
277,voter-16,DLiSA-0.7,2,47376.052 (2967.577)
278,voter-16,DLiSA-0.8,2,47265.068 (2914.373)
279,voter-16,DLiSA-0.9,2,47183.682 (2390.687)
280,voter-2,DLiSA-0.0,2,48115.179 (2425.179)
281,voter-2,DLiSA-0.1,2,48226.895 (1615.218)
282,voter-2,DLiSA-0.2,3,47831.044 (2915.875)
283,voter-2,DLiSA-0.3,1,48335.083 (488.968)
284,voter-2,DLiSA-0.4,2,48211.807 (1596.22)
285,voter-2,DLiSA-0.5,1,48378.074 (498.67)
286,voter-2,DLiSA-0.6,3,47935.427 (2384.023)
287,voter-2,DLiSA-0.7,2,48148.075 (667.7)
288,voter-2,DLiSA-0.8,4,47463.097 (2308.588)
289,voter-2,DLiSA-0.9,4,47302.822 (2827.066)
290,ycsb-2400,DLiSA-0.0,1,20191.815 (1307.006)
291,ycsb-2400,DLiSA-0.1,1,20233.763 (1294.999)
292,ycsb-2400,DLiSA-0.2,1,20223.912 (1326.437)
293,ycsb-2400,DLiSA-0.3,1,20037.04 (1584.735)
294,ycsb-2400,DLiSA-0.4,1,20232.089 (1201.478)
295,ycsb-2400,DLiSA-0.5,1,20268.749 (1287.655)
296,ycsb-2400,DLiSA-0.6,2,19867.189 (1716.143)
297,ycsb-2400,DLiSA-0.7,2,19754.085 (1531.912)
298,ycsb-2400,DLiSA-0.8,3,19298.506 (1752.603)
299,ycsb-2400,DLiSA-0.9,4,18430.96 (2025.671)
300,ycsb-600,DLiSA-0.0,1,28500.206 (1549.54)
301,ycsb-600,DLiSA-0.1,1,28508.866 (1498.436)
302,ycsb-600,DLiSA-0.2,1,28486.503 (1606.463)
303,ycsb-600,DLiSA-0.3,2,28129.89 (1669.565)
304,ycsb-600,DLiSA-0.4,2,28287.893 (1808.094)
305,ycsb-600,DLiSA-0.5,2,28195.191 (1790.885)
306,ycsb-600,DLiSA-0.6,3,27821.419 (2141.203)
307,ycsb-600,DLiSA-0.7,3,27534.85 (2388.183)
308,ycsb-600,DLiSA-0.8,4,26887.57 (2260.462)
309,ycsb-600,DLiSA-0.9,4,26467.008 (2157.117)
310,beethoven.wav,DLiSA-0.0,2,2.554 (0.772)
311,beethoven.wav,DLiSA-0.1,2,2.561 (0.758)
312,beethoven.wav,DLiSA-0.2,2,2.503 (0.754)
313,beethoven.wav,DLiSA-0.3,2,2.573 (0.828)
314,beethoven.wav,DLiSA-0.4,1,2.46 (0.564)
315,beethoven.wav,DLiSA-0.5,2,2.548 (0.595)
316,beethoven.wav,DLiSA-0.6,3,2.574 (0.631)
317,beethoven.wav,DLiSA-0.7,2,2.467 (0.546)
318,beethoven.wav,DLiSA-0.8,3,2.607 (0.636)
319,beethoven.wav,DLiSA-0.9,3,2.822 (0.83)
320,dual-channel.wav,DLiSA-0.0,3,0.889 (0.215)
321,dual-channel.wav,DLiSA-0.1,2,0.854 (0.179)
322,dual-channel.wav,DLiSA-0.2,3,0.898 (0.256)
323,dual-channel.wav,DLiSA-0.3,1,0.846 (0.197)
324,dual-channel.wav,DLiSA-0.4,2,0.853 (0.246)
325,dual-channel.wav,DLiSA-0.5,2,0.865 (0.211)
326,dual-channel.wav,DLiSA-0.6,2,0.863 (0.221)
327,dual-channel.wav,DLiSA-0.7,3,0.903 (0.267)
328,dual-channel.wav,DLiSA-0.8,3,0.915 (0.242)
329,dual-channel.wav,DLiSA-0.9,3,0.993 (0.287)
330,helix.wav,DLiSA-0.0,3,1.366 (0.386)
331,helix.wav,DLiSA-0.1,2,1.326 (0.352)
332,helix.wav,DLiSA-0.2,2,1.334 (0.396)
333,helix.wav,DLiSA-0.3,1,1.309 (0.368)
334,helix.wav,DLiSA-0.4,2,1.335 (0.382)
335,helix.wav,DLiSA-0.5,3,1.341 (0.384)
336,helix.wav,DLiSA-0.6,3,1.376 (0.396)
337,helix.wav,DLiSA-0.7,3,1.384 (0.393)
338,helix.wav,DLiSA-0.8,3,1.404 (0.407)
339,helix.wav,DLiSA-0.9,3,1.458 (0.386)
340,single-channel.wav,DLiSA-0.0,2,0.648 (0.079)
341,single-channel.wav,DLiSA-0.1,1,0.639 (0.075)
342,single-channel.wav,DLiSA-0.2,1,0.645 (0.104)
343,single-channel.wav,DLiSA-0.3,1,0.642 (0.076)
344,single-channel.wav,DLiSA-0.4,2,0.656 (0.117)
345,single-channel.wav,DLiSA-0.5,2,0.667 (0.117)
346,single-channel.wav,DLiSA-0.6,2,0.657 (0.105)
347,single-channel.wav,DLiSA-0.7,2,0.66 (0.131)
348,single-channel.wav,DLiSA-0.8,2,0.683 (0.145)
349,single-channel.wav,DLiSA-0.9,2,0.688 (0.128)
350,speech.wav,DLiSA-0.0,2,1.087 (0.289)
351,speech.wav,DLiSA-0.1,2,1.083 (0.306)
352,speech.wav,DLiSA-0.2,1,1.073 (0.251)
353,speech.wav,DLiSA-0.3,1,1.045 (0.246)
354,speech.wav,DLiSA-0.4,2,1.087 (0.475)
355,speech.wav,DLiSA-0.5,2,1.101 (0.343)
356,speech.wav,DLiSA-0.6,2,1.111 (0.421)
357,speech.wav,DLiSA-0.7,2,1.077 (0.317)
358,speech.wav,DLiSA-0.8,2,1.201 (0.544)
359,speech.wav,DLiSA-0.9,2,1.248 (0.471)
360,sweep.wav,DLiSA-0.0,2,0.302 (0.024)
361,sweep.wav,DLiSA-0.1,2,0.3 (0.024)
362,sweep.wav,DLiSA-0.2,2,0.302 (0.024)
363,sweep.wav,DLiSA-0.3,1,0.298 (0.018)
364,sweep.wav,DLiSA-0.4,2,0.303 (0.026)
365,sweep.wav,DLiSA-0.5,3,0.304 (0.028)
366,sweep.wav,DLiSA-0.6,2,0.303 (0.025)
367,sweep.wav,DLiSA-0.7,2,0.303 (0.028)
368,sweep.wav,DLiSA-0.8,2,0.303 (0.023)
369,sweep.wav,DLiSA-0.9,3,0.31 (0.026)
370,ambivert,DLiSA-0.0,1,0.965 (0.899)
371,ambivert,DLiSA-0.1,2,0.965 (0.92)
372,ambivert,DLiSA-0.2,2,1.057 (1.003)
373,ambivert,DLiSA-0.3,2,0.986 (0.866)
374,ambivert,DLiSA-0.4,1,0.907 (0.789)
375,ambivert,DLiSA-0.5,2,0.98 (0.833)
376,ambivert,DLiSA-0.6,2,0.993 (0.96)
377,ambivert,DLiSA-0.7,2,1.049 (0.923)
378,ambivert,DLiSA-0.8,2,1.616 (1.516)
379,ambivert,DLiSA-0.9,2,1.851 (1.503)
380,artificl,DLiSA-0.0,4,0.131 (0.033)
381,artificl,DLiSA-0.1,2,0.128 (0.027)
382,artificl,DLiSA-0.2,4,0.131 (0.031)
383,artificl,DLiSA-0.3,4,0.131 (0.032)
384,artificl,DLiSA-0.4,1,0.127 (0.024)
385,artificl,DLiSA-0.5,4,0.13 (0.025)
386,artificl,DLiSA-0.6,3,0.129 (0.028)
387,artificl,DLiSA-0.7,4,0.14 (0.041)
388,artificl,DLiSA-0.8,4,0.145 (0.041)
389,artificl,DLiSA-0.9,4,0.164 (0.048)
390,deepfield,DLiSA-0.0,1,0.285 (0.07)
391,deepfield,DLiSA-0.1,1,0.289 (0.088)
392,deepfield,DLiSA-0.2,1,0.29 (0.072)
393,deepfield,DLiSA-0.3,2,0.308 (0.129)
394,deepfield,DLiSA-0.4,2,0.32 (0.134)
395,deepfield,DLiSA-0.5,2,0.314 (0.162)
396,deepfield,DLiSA-0.6,1,0.303 (0.116)
397,deepfield,DLiSA-0.7,2,0.316 (0.155)
398,deepfield,DLiSA-0.8,1,0.297 (0.133)
399,deepfield,DLiSA-0.9,1,0.303 (0.329)
400,enwik8,DLiSA-0.0,1,1.107 (0.618)
401,enwik8,DLiSA-0.1,3,1.164 (0.802)
402,enwik8,DLiSA-0.2,3,1.205 (0.78)
403,enwik8,DLiSA-0.3,3,1.173 (0.697)
404,enwik8,DLiSA-0.4,2,1.113 (0.84)
405,enwik8,DLiSA-0.5,4,1.307 (1.161)
406,enwik8,DLiSA-0.6,4,1.326 (1.494)
407,enwik8,DLiSA-0.7,4,1.467 (1.36)
408,enwik8,DLiSA-0.8,4,1.702 (1.389)
409,enwik8,DLiSA-0.9,4,2.313 (1.783)
410,fannie_mae_500k,DLiSA-0.0,3,0.862 (0.485)
411,fannie_mae_500k,DLiSA-0.1,2,0.844 (0.491)
412,fannie_mae_500k,DLiSA-0.2,3,0.917 (0.625)
413,fannie_mae_500k,DLiSA-0.3,3,0.938 (0.604)
414,fannie_mae_500k,DLiSA-0.4,1,0.817 (0.463)
415,fannie_mae_500k,DLiSA-0.5,3,0.97 (0.729)
416,fannie_mae_500k,DLiSA-0.6,3,0.972 (1.046)
417,fannie_mae_500k,DLiSA-0.7,4,1.05 (0.731)
418,fannie_mae_500k,DLiSA-0.8,4,1.472 (1.133)
419,fannie_mae_500k,DLiSA-0.9,4,1.832 (1.177)
420,large,DLiSA-0.0,3,0.434 (0.305)
421,large,DLiSA-0.1,2,0.416 (0.285)
422,large,DLiSA-0.2,3,0.45 (0.306)
423,large,DLiSA-0.3,3,0.433 (0.263)
424,large,DLiSA-0.4,1,0.404 (0.269)
425,large,DLiSA-0.5,3,0.417 (0.261)
426,large,DLiSA-0.6,3,0.418 (0.281)
427,large,DLiSA-0.7,3,0.449 (0.317)
428,large,DLiSA-0.8,3,0.544 (0.373)
429,large,DLiSA-0.9,3,0.671 (0.398)
430,misc,DLiSA-0.0,3,0.168 (0.065)
431,misc,DLiSA-0.1,3,0.172 (0.074)
432,misc,DLiSA-0.2,3,0.169 (0.068)
433,misc,DLiSA-0.3,4,0.177 (0.078)
434,misc,DLiSA-0.4,2,0.168 (0.073)
435,misc,DLiSA-0.5,4,0.18 (0.084)
436,misc,DLiSA-0.6,1,0.164 (0.06)
437,misc,DLiSA-0.7,4,0.191 (0.086)
438,misc,DLiSA-0.8,4,0.207 (0.089)
439,misc,DLiSA-0.9,4,0.24 (0.097)
440,silesia,DLiSA-0.0,1,2.296 (2.21)
441,silesia,DLiSA-0.1,3,2.359 (2.081)
442,silesia,DLiSA-0.2,3,2.469 (1.86)
443,silesia,DLiSA-0.3,2,2.347 (2.228)
444,silesia,DLiSA-0.4,1,2.029 (1.694)
445,silesia,DLiSA-0.5,3,2.75 (2.957)
446,silesia,DLiSA-0.6,2,2.32 (2.235)
447,silesia,DLiSA-0.7,3,3.118 (3.119)
448,silesia,DLiSA-0.8,4,4.549 (4.767)
449,silesia,DLiSA-0.9,3,3.987 (3.329)
450,vmlinux,DLiSA-0.0,3,0.717 (0.586)
451,vmlinux,DLiSA-0.1,3,0.683 (0.517)
452,vmlinux,DLiSA-0.2,3,0.728 (0.637)
453,vmlinux,DLiSA-0.3,3,0.709 (0.585)
454,vmlinux,DLiSA-0.4,1,0.543 (0.259)
455,vmlinux,DLiSA-0.5,3,0.69 (0.47)
456,vmlinux,DLiSA-0.6,2,0.61 (0.343)
457,vmlinux,DLiSA-0.7,3,0.717 (0.503)
458,vmlinux,DLiSA-0.8,4,0.863 (0.608)
459,vmlinux,DLiSA-0.9,5,1.238 (0.941)
460,ambivert.wav.tar,DLiSA-0.0,2,3.136 (0.041)
461,ambivert.wav.tar,DLiSA-0.1,1,3.134 (0.033)
462,ambivert.wav.tar,DLiSA-0.2,2,3.136 (0.03)
463,ambivert.wav.tar,DLiSA-0.3,2,3.135 (0.035)
464,ambivert.wav.tar,DLiSA-0.4,2,3.134 (0.029)
465,ambivert.wav.tar,DLiSA-0.5,2,3.137 (0.046)
466,ambivert.wav.tar,DLiSA-0.6,2,3.134 (0.034)
467,ambivert.wav.tar,DLiSA-0.7,2,3.134 (0.03)
468,ambivert.wav.tar,DLiSA-0.8,2,3.143 (0.059)
